,Date,TotalCash,TotalValue
0,2000-01-03,100000.0,100000.0
1,2000-01-04,100000.0,100000.0
2,2000-01-05,100000.0,100000.0
3,2000-01-06,100000.0,100000.0
4,2000-01-07,100000.0,100000.0
5,2000-01-10,100000.0,100000.0
6,2000-01-11,100000.0,100000.0
7,2000-01-12,100000.0,100000.0
8,2000-01-13,100000.0,100000.0
9,2000-01-14,100000.0,100000.0
10,2000-01-18,100000.0,100000.0
11,2000-01-19,100000.0,100000.0
12,2000-01-20,100000.0,100000.0
13,2000-01-21,100000.0,100000.0
14,2000-01-24,100000.0,100000.0
15,2000-01-25,100000.0,100000.0
16,2000-01-26,100000.0,100000.0
17,2000-01-27,100000.0,100000.0
18,2000-01-28,100000.0,100000.0
19,2000-01-31,100000.0,100000.0
20,2000-02-01,100000.0,100000.0
21,2000-02-02,100000.0,100000.0
22,2000-02-03,100000.0,100000.0
23,2000-02-04,100000.0,100000.0
24,2000-02-07,100000.0,100000.0
25,2000-02-08,100000.0,100000.0
26,2000-02-09,100000.0,100000.0
27,2000-02-10,100000.0,100000.0
28,2000-02-11,100000.0,100000.0
29,2000-02-14,100000.0,100000.0
30,2000-02-15,100000.0,100000.0
31,2000-02-16,100000.0,100000.0
32,2000-02-17,100000.0,100000.0
33,2000-02-18,100000.0,100000.0
34,2000-02-22,100000.0,100000.0
35,2000-02-23,100000.0,100000.0
36,2000-02-24,100000.0,100000.0
37,2000-02-25,100000.0,100000.0
38,2000-02-28,100000.0,100000.0
39,2000-02-29,100000.0,100000.0
40,2000-03-01,100000.0,100000.0
41,2000-03-02,100000.0,100000.0
42,2000-03-03,100000.0,100000.0
43,2000-03-06,100000.0,100000.0
44,2000-03-07,100000.0,100000.0
45,2000-03-08,100000.0,100000.0
46,2000-03-09,100000.0,100000.0
47,2000-03-10,100000.0,100000.0
48,2000-03-13,100000.0,100000.0
49,2000-03-14,100000.0,100000.0
50,2000-03-15,100000.0,100000.0
51,2000-03-16,100000.0,100000.0
52,2000-03-17,100000.0,100000.0
53,2000-03-20,100000.0,100000.0
54,2000-03-21,100000.0,100000.0
55,2000-03-22,100000.0,100000.0
56,2000-03-23,100000.0,100000.0
57,2000-03-24,100000.0,100000.0
58,2000-03-27,100000.0,100000.0
59,2000-03-28,100000.0,100000.0
60,2000-03-29,100000.0,100000.0
61,2000-03-30,100000.0,100000.0
62,2000-03-31,100000.0,100000.0
63,2000-04-03,100000.0,100000.0
64,2000-04-04,100000.0,100000.0
65,2000-04-05,100000.0,100000.0
66,2000-04-06,100000.0,100000.0
67,2000-04-07,100000.0,100000.0
